negative talks,positive talks,Negative length,Vote(Yes/No)
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
2,0,42,1
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
2,0,42,0
2,0,42,1
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,2,0,0
0,2,0,0
0,0,0,1
5,0,200,1
0,0,0,0
2,0,42,1
2,0,42,0
2,0,42,0
2,0,42,0
0,0,0,1
0,0,0,0
0,0,0,0
2,0,42,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
2,0,42,0
2,0,42,0
0,2,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,1
2,0,42,0
0,0,0,0
2,0,42,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
2,0,42,1
2,0,42,1
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
5,0,200,1
5,0,200,1
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
2,0,42,0
2,0,42,0
0,0,0,0
2,0,42,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
2,0,42,0
0,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,0,0,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,42,0
2,0,42,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
